,,0
England,Norway,"(0.9208143696636658, 0.07918563033633418)"
England,Austria,"(0.9219970928910607, 0.0780029071089393)"
England,Northern Ireland,"(0.9929299960217683, 0.0070700039782316945)"
England,Spain,"(0.6169604825117354, 0.38303951748826454)"
England,Germany,"(0.9348387833961592, 0.06516121660384075)"
England,Denmark,"(0.9876905304125067, 0.012309469587493294)"
England,Finland,"(0.9952099272267565, 0.004790072773243551)"
England,Netherlands,"(0.8590728302122881, 0.14092716978771191)"
England,Sweden,"(0.8190154179831994, 0.1809845820168005)"
England,Switzerland,"(0.9482422180156674, 0.05175778198433257)"
England,Portugal,"(0.9988986724243891, 0.0011013275756108969)"
England,France,"(0.9506665765589234, 0.049333423441076614)"
England,Italy,"(0.8442440771132599, 0.15575592288674012)"
England,Iceland,"(0.8726608429579206, 0.1273391570420795)"
England,Belgium,"(0.7774610630218471, 0.2225389369781528)"
Norway,Austria,"(0.5035063533137593, 0.49649364668624074)"
Norway,Northern Ireland,"(0.8558850428068513, 0.14411495719314868)"
Norway,Spain,"(0.13903477483102747, 0.8609652251689726)"
Norway,Germany,"(0.5424617606531312, 0.4575382393468688)"
Norway,Denmark,"(0.8059097535071763, 0.19409024649282375)"
Norway,Finland,"(0.8832482694441192, 0.11675173055588087)"
Norway,Netherlands,"(0.3661205147862735, 0.6338794852137265)"
Norway,Sweden,"(0.30677616757112025, 0.6932238324288797)"
Norway,Switzerland,"(0.5893483841672902, 0.41065161583270976)"
Norway,Portugal,"(0.9465605306753205, 0.053439469324679446)"
Norway,France,"(0.5991387653600332, 0.40086123463996676)"
Norway,Italy,"(0.3422957825585133, 0.6577042174414867)"
Norway,Iceland,"(0.39032561846298236, 0.6096743815370176)"
Norway,Belgium,"(0.25794353906619205, 0.742056460933808)"
Austria,Northern Ireland,"(0.8539184913241541, 0.14608150867584585)"
Austria,Spain,"(0.13745712101293156, 0.8625428789870684)"
Austria,Germany,"(0.5386311043015695, 0.4613688956984306)"
Austria,Denmark,"(0.8036677766866809, 0.19633222331331915)"
Austria,Finland,"(0.8816656958213144, 0.11833430417868564)"
Austria,Netherlands,"(0.3630616772564739, 0.636938322743526)"
Austria,Sweden,"(0.3035802061895301, 0.6964197938104699)"
Austria,Switzerland,"(0.5861772737435157, 0.4138227262564843)"
Austria,Portugal,"(0.9458606988841577, 0.05413930111584234)"
Austria,France,"(0.5959740543734369, 0.40402594562656313)"
Austria,Italy,"(0.3393408649278836, 0.6606591350721164)"
Austria,Iceland,"(0.38706292772082257, 0.6129370722791775)"
Austria,Belgium,"(0.2553356045022535, 0.7446643954977465)"
Northern Ireland,Spain,"(0.01895329117037599, 0.981046708829624)"
Northern Ireland,Germany,"(0.1681452751596142, 0.8318547248403858)"
Northern Ireland,Denmark,"(0.4167694832684028, 0.5832305167315972)"
Northern Ireland,Finland,"(0.5545420384979691, 0.44545796150203093)"
Northern Ireland,Netherlands,"(0.08358654290296673, 0.9164134570970333)"
Northern Ireland,Sweden,"(0.06281502844131566, 0.9371849715586843)"
Northern Ireland,Switzerland,"(0.1986562816774374, 0.8013437183225626)"
Northern Ireland,Portugal,"(0.7234084408196251, 0.2765915591803749)"
Northern Ireland,France,"(0.2051419385056874, 0.7948580614943126)"
Northern Ireland,Italy,"(0.07490867125736592, 0.9250913287426341)"
Northern Ireland,Iceland,"(0.0931854116889314, 0.9068145883110686)"
Northern Ireland,Belgium,"(0.04778065838250811, 0.9522193416174919)"
Spain,Germany,"(0.8814176523034202, 0.11858234769657983)"
Spain,Denmark,"(0.9704529467616456, 0.029547053238354378)"
Spain,Finland,"(0.9862066571780758, 0.013793342821924185)"
Spain,Netherlands,"(0.7757454226637419, 0.2242545773362581)"
Spain,Sweden,"(0.7245979469052087, 0.2754020530947913)"
Spain,Switzerland,"(0.902279019063088, 0.09772098093691198)"
Spain,Portugal,"(0.9957456284905667, 0.0042543715094333434)"
Spain,France,"(0.9064102756062353, 0.09358972439376471)"
Spain,Italy,"(0.7562736733452172, 0.24372632665478278)"
Spain,Iceland,"(0.7932630492450213, 0.20673695075497864)"
Spain,Belgium,"(0.674113733342862, 0.32588626665713805)"
Germany,Denmark,"(0.7768894909795722, 0.2231105090204279)"
Germany,Finland,"(0.8627255527761596, 0.1372744472238404)"
Germany,Netherlands,"(0.32732379938106176, 0.6726762006189382)"
Germany,Sweden,"(0.27129313409635886, 0.7287068659036412)"
Germany,Switzerland,"(0.5477331311665941, 0.452266868833406)"
Germany,Portugal,"(0.935305611470725, 0.06469438852927503)"
Germany,France,"(0.5579090946670494, 0.44209090533295065)"
Germany,Italy,"(0.30503998878142785, 0.6949600112185722)"
Germany,Iceland,"(0.3507587351964543, 0.6492412648035457)"
Germany,Belgium,"(0.22560733939741748, 0.7743926606025825)"
Denmark,Finland,"(0.6358684173788574, 0.36413158262114265)"
Denmark,Netherlands,"(0.11746734281661647, 0.8825326571833835)"
Denmark,Sweden,"(0.09015137334212418, 0.9098486266578758)"
Denmark,Switzerland,"(0.2598767713733241, 0.7401232286266759)"
Denmark,Portugal,"(0.7871536897803793, 0.21284631021962072)"
Denmark,France,"(0.2679610283420734, 0.7320389716579266)"
Denmark,Italy,"(0.10618068652657328, 0.8938193134734267)"
Denmark,Iceland,"(0.12993865554844974, 0.8700613444515503)"
Denmark,Belgium,"(0.06998719484548213, 0.9300128051545179)"
Finland,Netherlands,"(0.06584592071809262, 0.9341540792819074)"
Finland,Sweden,"(0.04867417058070271, 0.9513258294192973)"
Finland,Switzerland,"(0.16389501562125372, 0.8361049843787463)"
Finland,Portugal,"(0.6763956177206158, 0.32360438227938415)"
Finland,France,"(0.1696074900497565, 0.8303925099502435)"
Finland,Italy,"(0.05880142616245841, 0.9411985738375416)"
Finland,Iceland,"(0.07368722958971193, 0.926312770410288)"
Finland,Belgium,"(0.03664535694642658, 0.9633546430535734)"
Netherlands,Sweden,"(0.4344561910453906, 0.5655438089546094)"
Netherlands,Switzerland,"(0.714260289385096, 0.28573971061490405)"
Netherlands,Portugal,"(0.9728743939666008, 0.027125606033399172)"
Netherlands,France,"(0.7225502700776059, 0.27744972992239414)"
Netherlands,Italy,"(0.4741258068255638, 0.5258741931744362)"
Netherlands,Iceland,"(0.5258353296930927, 0.47416467030690734)"
Netherlands,Belgium,"(0.37747418117268655, 0.6225258188273134)"
Sweden,Switzerland,"(0.7661134706028485, 0.2338865293971515)"
Sweden,Portugal,"(0.9809844891815956, 0.019015510818404312)"
Sweden,France,"(0.7736653749232365, 0.22633462507676344)"
Sweden,Italy,"(0.5401316480755209, 0.45986835192447906)"
Sweden,Iceland,"(0.5907051148725496, 0.4092948851274504)"
Sweden,Belgium,"(0.4415087812654699, 0.5584912187345301)"
Switzerland,Portugal,"(0.9200157295577249, 0.07998427044227503)"
Switzerland,France,"(0.5097144617894919, 0.4902855382105082)"
Switzerland,Italy,"(0.2650217120590832, 0.7349782879409168)"
Switzerland,Iceland,"(0.3076022179041609, 0.6923977820958391)"
Switzerland,Belgium,"(0.19226459177938973, 0.8077354082206103)"
Portugal,France,"(0.08299502735939425, 0.9170049726406058)"
Portugal,Italy,"(0.023720702921477977, 0.976279297078522)"
Portugal,Iceland,"(0.03093663369084123, 0.9690633663091588)"
Portugal,Belgium,"(0.013567420795282188, 0.9864325792047178)"
France,Italy,"(0.25666768350582836, 0.7433323164941716)"
France,Iceland,"(0.2990143370566291, 0.700985662943371)"
France,Belgium,"(0.18592285737789, 0.81407714262211)"
Italy,Iceland,"(0.5508888652416505, 0.4491111347583496)"
Italy,Belgium,"(0.4020340604439042, 0.5979659395560958)"
Iceland,Belgium,"(0.35341129421692824, 0.6465887057830717)"
Norway,England,"(0.07918563033633418, 0.9208143696636658)"
Austria,England,"(0.0780029071089393, 0.9219970928910607)"
Northern Ireland,England,"(0.0070700039782316945, 0.9929299960217683)"
Spain,England,"(0.38303951748826454, 0.6169604825117354)"
Germany,England,"(0.06516121660384075, 0.9348387833961592)"
Denmark,England,"(0.012309469587493294, 0.9876905304125067)"
Finland,England,"(0.004790072773243551, 0.9952099272267565)"
Netherlands,England,"(0.14092716978771191, 0.8590728302122881)"
Sweden,England,"(0.1809845820168005, 0.8190154179831994)"
Switzerland,England,"(0.05175778198433257, 0.9482422180156674)"
Portugal,England,"(0.0011013275756108969, 0.9988986724243891)"
France,England,"(0.049333423441076614, 0.9506665765589234)"
Italy,England,"(0.15575592288674012, 0.8442440771132599)"
Iceland,England,"(0.1273391570420795, 0.8726608429579206)"
Belgium,England,"(0.2225389369781528, 0.7774610630218471)"
Austria,Norway,"(0.49649364668624074, 0.5035063533137593)"
Northern Ireland,Norway,"(0.14411495719314868, 0.8558850428068513)"
Spain,Norway,"(0.8609652251689726, 0.13903477483102747)"
Germany,Norway,"(0.4575382393468688, 0.5424617606531312)"
Denmark,Norway,"(0.19409024649282375, 0.8059097535071763)"
Finland,Norway,"(0.11675173055588087, 0.8832482694441192)"
Netherlands,Norway,"(0.6338794852137265, 0.3661205147862735)"
Sweden,Norway,"(0.6932238324288797, 0.30677616757112025)"
Switzerland,Norway,"(0.41065161583270976, 0.5893483841672902)"
Portugal,Norway,"(0.053439469324679446, 0.9465605306753205)"
France,Norway,"(0.40086123463996676, 0.5991387653600332)"
Italy,Norway,"(0.6577042174414867, 0.3422957825585133)"
Iceland,Norway,"(0.6096743815370176, 0.39032561846298236)"
Belgium,Norway,"(0.742056460933808, 0.25794353906619205)"
Northern Ireland,Austria,"(0.14608150867584585, 0.8539184913241541)"
Spain,Austria,"(0.8625428789870684, 0.13745712101293156)"
Germany,Austria,"(0.4613688956984306, 0.5386311043015695)"
Denmark,Austria,"(0.19633222331331915, 0.8036677766866809)"
Finland,Austria,"(0.11833430417868564, 0.8816656958213144)"
Netherlands,Austria,"(0.636938322743526, 0.3630616772564739)"
Sweden,Austria,"(0.6964197938104699, 0.3035802061895301)"
Switzerland,Austria,"(0.4138227262564843, 0.5861772737435157)"
Portugal,Austria,"(0.05413930111584234, 0.9458606988841577)"
France,Austria,"(0.40402594562656313, 0.5959740543734369)"
Italy,Austria,"(0.6606591350721164, 0.3393408649278836)"
Iceland,Austria,"(0.6129370722791775, 0.38706292772082257)"
Belgium,Austria,"(0.7446643954977465, 0.2553356045022535)"
Spain,Northern Ireland,"(0.981046708829624, 0.01895329117037599)"
Germany,Northern Ireland,"(0.8318547248403858, 0.1681452751596142)"
Denmark,Northern Ireland,"(0.5832305167315972, 0.4167694832684028)"
Finland,Northern Ireland,"(0.44545796150203093, 0.5545420384979691)"
Netherlands,Northern Ireland,"(0.9164134570970333, 0.08358654290296673)"
Sweden,Northern Ireland,"(0.9371849715586843, 0.06281502844131566)"
Switzerland,Northern Ireland,"(0.8013437183225626, 0.1986562816774374)"
Portugal,Northern Ireland,"(0.2765915591803749, 0.7234084408196251)"
France,Northern Ireland,"(0.7948580614943126, 0.2051419385056874)"
Italy,Northern Ireland,"(0.9250913287426341, 0.07490867125736592)"
Iceland,Northern Ireland,"(0.9068145883110686, 0.0931854116889314)"
Belgium,Northern Ireland,"(0.9522193416174919, 0.04778065838250811)"
Germany,Spain,"(0.11858234769657983, 0.8814176523034202)"
Denmark,Spain,"(0.029547053238354378, 0.9704529467616456)"
Finland,Spain,"(0.013793342821924185, 0.9862066571780758)"
Netherlands,Spain,"(0.2242545773362581, 0.7757454226637419)"
Sweden,Spain,"(0.2754020530947913, 0.7245979469052087)"
Switzerland,Spain,"(0.09772098093691198, 0.902279019063088)"
Portugal,Spain,"(0.0042543715094333434, 0.9957456284905667)"
France,Spain,"(0.09358972439376471, 0.9064102756062353)"
Italy,Spain,"(0.24372632665478278, 0.7562736733452172)"
Iceland,Spain,"(0.20673695075497864, 0.7932630492450213)"
Belgium,Spain,"(0.32588626665713805, 0.674113733342862)"
Denmark,Germany,"(0.2231105090204279, 0.7768894909795722)"
Finland,Germany,"(0.1372744472238404, 0.8627255527761596)"
Netherlands,Germany,"(0.6726762006189382, 0.32732379938106176)"
Sweden,Germany,"(0.7287068659036412, 0.27129313409635886)"
Switzerland,Germany,"(0.452266868833406, 0.5477331311665941)"
Portugal,Germany,"(0.06469438852927503, 0.935305611470725)"
France,Germany,"(0.44209090533295065, 0.5579090946670494)"
Italy,Germany,"(0.6949600112185722, 0.30503998878142785)"
Iceland,Germany,"(0.6492412648035457, 0.3507587351964543)"
Belgium,Germany,"(0.7743926606025825, 0.22560733939741748)"
Finland,Denmark,"(0.36413158262114265, 0.6358684173788574)"
Netherlands,Denmark,"(0.8825326571833835, 0.11746734281661647)"
Sweden,Denmark,"(0.9098486266578758, 0.09015137334212418)"
Switzerland,Denmark,"(0.7401232286266759, 0.2598767713733241)"
Portugal,Denmark,"(0.21284631021962072, 0.7871536897803793)"
France,Denmark,"(0.7320389716579266, 0.2679610283420734)"
Italy,Denmark,"(0.8938193134734267, 0.10618068652657328)"
Iceland,Denmark,"(0.8700613444515503, 0.12993865554844974)"
Belgium,Denmark,"(0.9300128051545179, 0.06998719484548213)"
Netherlands,Finland,"(0.9341540792819074, 0.06584592071809262)"
Sweden,Finland,"(0.9513258294192973, 0.04867417058070271)"
Switzerland,Finland,"(0.8361049843787463, 0.16389501562125372)"
Portugal,Finland,"(0.32360438227938415, 0.6763956177206158)"
France,Finland,"(0.8303925099502435, 0.1696074900497565)"
Italy,Finland,"(0.9411985738375416, 0.05880142616245841)"
Iceland,Finland,"(0.926312770410288, 0.07368722958971193)"
Belgium,Finland,"(0.9633546430535734, 0.03664535694642658)"
Sweden,Netherlands,"(0.5655438089546094, 0.4344561910453906)"
Switzerland,Netherlands,"(0.28573971061490405, 0.714260289385096)"
Portugal,Netherlands,"(0.027125606033399172, 0.9728743939666008)"
France,Netherlands,"(0.27744972992239414, 0.7225502700776059)"
Italy,Netherlands,"(0.5258741931744362, 0.4741258068255638)"
Iceland,Netherlands,"(0.47416467030690734, 0.5258353296930927)"
Belgium,Netherlands,"(0.6225258188273134, 0.37747418117268655)"
Switzerland,Sweden,"(0.2338865293971515, 0.7661134706028485)"
Portugal,Sweden,"(0.019015510818404312, 0.9809844891815956)"
France,Sweden,"(0.22633462507676344, 0.7736653749232365)"
Italy,Sweden,"(0.45986835192447906, 0.5401316480755209)"
Iceland,Sweden,"(0.4092948851274504, 0.5907051148725496)"
Belgium,Sweden,"(0.5584912187345301, 0.4415087812654699)"
Portugal,Switzerland,"(0.07998427044227503, 0.9200157295577249)"
France,Switzerland,"(0.4902855382105082, 0.5097144617894919)"
Italy,Switzerland,"(0.7349782879409168, 0.2650217120590832)"
Iceland,Switzerland,"(0.6923977820958391, 0.3076022179041609)"
Belgium,Switzerland,"(0.8077354082206103, 0.19226459177938973)"
France,Portugal,"(0.9170049726406058, 0.08299502735939425)"
Italy,Portugal,"(0.976279297078522, 0.023720702921477977)"
Iceland,Portugal,"(0.9690633663091588, 0.03093663369084123)"
Belgium,Portugal,"(0.9864325792047178, 0.013567420795282188)"
Italy,France,"(0.7433323164941716, 0.25666768350582836)"
Iceland,France,"(0.700985662943371, 0.2990143370566291)"
Belgium,France,"(0.81407714262211, 0.18592285737789)"
Iceland,Italy,"(0.4491111347583496, 0.5508888652416505)"
Belgium,Italy,"(0.5979659395560958, 0.4020340604439042)"
Belgium,Iceland,"(0.6465887057830717, 0.35341129421692824)"
